user,text,favorite_count,retweet_count,created_at
elonmusk,@MuskUniversity And Tesla is getting it done,7767,660,2023-04-05 10:49:02+00:00
elonmusk,@dogeofficialceo ,19213,998,2023-04-05 09:47:23+00:00
elonmusk,"@andst7 Fermi was incredible. 

I like that he cared that we see no evidence of  aliens. It is a fundamental question about the nature of the universe.",6108,511,2023-04-05 09:46:21+00:00
elonmusk,@alx @CommunityNotes @GlennKesslerWP Maybe a link under the account name to the list of Community Notes of an account that is frequently posting incorrect information,25045,1923,2023-04-05 09:37:58+00:00
elonmusk,"@jakeshieldsajj Very sorry to hear that. Many people I know have been severely assaulted.

Violent crime in SF is horrific and even if attackers are caught, they are often released immediately.

Is the city taking stronger action to incarcerate repeat violent offenders @BrookeJenkinsSF?",71227,8527,2023-04-05 09:27:48+00:00
elonmusk,@Chad_Hurley  comments,986,62,2023-04-05 09:11:01+00:00
elonmusk,@Chad_Hurley Of ,7205,452,2023-04-05 09:02:52+00:00
elonmusk,@BogusThought ,2870,85,2023-04-05 07:06:36+00:00
elonmusk,@bennyjohnson @NPR Seems accurate https://t.co/nx5TmJY7GX,65762,7925,2023-04-05 07:01:37+00:00
elonmusk,@jjvincent lol,627,50,2023-04-05 06:56:58+00:00
elonmusk,@Umbisam Brand is the cumulative perception of a companys products over time,19010,1662,2023-04-05 02:51:37+00:00
elonmusk,Summary of argument against AI safety https://t.co/Vmg4yJm22Y,169770,15202,2023-04-04 23:15:03+00:00
elonmusk,@TitterDaily First Ive heard about this. Did they identify what content theyre concerned about?,2860,264,2023-04-04 20:25:10+00:00
elonmusk,"@AdamLowisz @David_Leavitt @BillyM2k Agreed. The moral guiding star should be to stop racism, not replace one form of it with another, as some have done.",8799,943,2023-04-04 20:01:14+00:00
elonmusk,@TEQNiKG @David_Leavitt @BillyM2k ,1686,71,2023-04-04 19:58:32+00:00
elonmusk,@jachiam0 Very true,2953,203,2023-04-04 19:56:28+00:00
elonmusk,"@David_Leavitt @BillyM2k The rules are consistent. Even though I think youre awful and I consider Billy Markus to be a friend, he still had to delete his post or be suspended.",48565,2508,2023-04-04 19:51:04+00:00
